benchmark	koka-c	koka-js	koka-vm
tree_explore	0.8250729831800001	0.55482932508	0.5515595458800001
counter	1.9675844659000004	0.5717074991	0.6106171325
countdown	3.22902077844	0.8951770575400001	0.7191215160400002
handler_sieve	3.8353503265200004	nan	3.8553363808200003
parsing_dollars	3.51061546166	6.701244428360001	1.1424784159600003
triples	12.577535748219999	2.58356995642	0.4727119108200001
growing_cont	nan	nan	nan
multiple_handlers	12.32197113076	7.116603113959998	1.4450804806600002
generator	50.6201426366	12.8024286035	0.5645982324000001
product_early	10.24743965506	2.4888486924600004	0.38234797176000007
unused_handlers	3.2275259449000004	0.9774292076	0.719206199
resume_nontail	9.148996881599999	nan	0.353473769
fibonacci_recursive	1.3018974207999998	3.5396531832	3.3070295083
to_outermost_handler	3.9784682267	1.3679459144	1.1294797058000003
iterator	0.34391220088	0.4087755175800001	0.2518593976163637
nqueens	8.1325122782	2.0156956824999996	0.6548620035000001
