benchmark	effekt-jit	effekt-js	effekt-llvm	effekt-ml
to_outermost_handler	0.07137979554999999	nan	7.704790364099999	nan
unused_handlers	0.41369764500000006	nan	7.9532218867	nan
countdown	0.41220596594000003	63.064819674039995	5.82588611994	0.06578341066499999
multiple_handlers	0.5258035516600001	27.730874672459997	2.37799345156	0.64272054316
product_early	0.36227824246000007	10.36184737996	5.809248305060001	0.37218878416000006
iterator	0.01927995211953489	6.69527509218	0.68215720538	0.19075048278000004
triples	0.11591701404	2.15776331902	nan	0.04223037458875001
tree_explore	0.32367496268000007	nan	59.646282587479995	0.18744551941333337
resume_nontail	0.11340260569999999	nan	0.24667510461666667	0.11173382402000001
growing_cont	nan	nan	nan	nan
generator	0.5875291908	16.0870331033	nan	nan
parsing_dollars	0.4165596535600001	32.799037107660006	4.409617974360001	0.12855887080545456
nqueens	0.5671942160000001	7.514671294899999	nan	0.10943134507692308
handler_sieve	2.27072814332	nan	24.01052787232	nan
fibonacci_recursive	5.4370133332999995	nan	1.0810794164999997	2.1047066166
counter	nan	nan	nan	nan
