benchmark	eff-jit	effekt-jit	koka-vm
iterator	0.024756987146666676	0.01927995211953489	0.2518593976163637
counter	nan	nan	0.6106171325
tree_explore	0.5121953500800001	0.32367496268000007	0.5515595458800001
generator	3.9628495867	0.5875291908	0.5645982324000001
to_outermost_handler	nan	0.07137979554999999	1.1294797058000003
triples	0.92976969002	0.11591701404	0.4727119108200001
nqueens	1.126506895	0.5671942160000001	0.6548620035000001
fibonacci_recursive	5.5134546458	5.4370133332999995	3.3070295083
handler_sieve	2.9875070348199997	2.27072814332	3.8553363808200003
parsing_dollars	0.2061553666171429	0.4165596535600001	1.1424784159600003
product_early	0.54094302996	0.36227824246000007	0.38234797176000007
growing_cont	nan	nan	nan
countdown	24.914048303439998	0.41220596594000003	0.7191215160400002
resume_nontail	0.2450296877	0.11340260569999999	0.353473769
multiple_handlers	0.57935803496	0.5258035516600001	1.4450804806600002
unused_handlers	24.929576749200002	0.41369764500000006	0.719206199
