benchmark	eff-jit	eff-plain-ocaml
countdown	nan	1.0
parsing_dollars	1.0	82.09019486451675
fibonacci_recursive	1.0	nan
nqueens	1.0	nan
to_outermost_handler	nan	nan
tree_explore	1.0	2.42678887831916
resume_nontail	1.0	6.272565574149246
unused_handlers	nan	1.0
handler_sieve	1.0	nan
iterator	1.0	122.5806486435458
generator	1.699980784783784	1.0
product_early	1.0	10.109143033012213
counter	nan	nan
triples	1.6905799663453815	1.0
growing_cont	nan	nan
multiple_handlers	1.0	17.318110490268793
