benchmark	eff-jit
parsing_dollars	0.2060015573057143
tree_explore	0.5123685567
to_outermost_handler	nan
fibonacci_recursive	5.5249482925999995
resume_nontail	0.24524999501
iterator	0.024713347003809522
triples	0.93040155254
countdown	nan
generator	4.009137194920001
nqueens	1.10842452264
unused_handlers	nan
handler_sieve	2.93530339674
multiple_handlers	0.5797613645000002
counter	nan
growing_cont	nan
product_early	0.5404212818
