benchmark	koka-c	koka-js	koka-vm	koka-vm-2-context	koka-vm-no-addcej	koka-vm-no-context	koka-vm-no-specialization
handler_sieve	3.84141091754	nan	3.84255930084	3.8258074591399995	3.81355031314	4.03170667984	8.05096161754
parsing_dollars	3.51290046512	6.653037327419999	1.1490618984199998	1.1521974776200001	1.15772078172	5.82505787752	1.1534556943199998
nqueens	8.16191665984	1.99986187244	0.66192218904	0.66032439754	0.5307915348400001	0.80154175144	0.70469908474
unused_handlers	3.22750706254	0.91442407524	0.7168677708400001	0.7241686789400001	0.7327368417400001	2.43232376244	0.72569109174
counter	1.9657179884800002	0.5689773551800001	0.6044589339800001	0.6039781049800002	0.60189210088	1.5135317969800002	0.5959072092800002
fibonacci_recursive	1.3013509214	3.527657454999999	3.3063323343	3.3425863796999997	4.2008512134	4.4671742342	4.012119192400001
multiple_handlers	12.2704532268	7.128500755900001	1.4409168809000001	1.4406925643	1.4407062932999999	1.3935749723	1.6663212852
triples	12.57288973574	2.58601309834	0.47149769014	0.47365489424000007	0.43843337744	0.6847526235400001	0.56517550264
iterator	0.3428869600800001	0.40705220588	0.25157356862545455	0.2531367356254546	0.25040370880727275	0.26304515962545455	0.25110335635272735
tree_explore	0.8246115526000001	0.5538582607	0.5496831695	0.5500444775	0.3997560857000001	0.5300829816	0.5134024441000001
to_outermost_handler	3.9815045942399996	1.3676709650399999	1.13938406504	1.13924340254	1.0862227149400001	2.74723087334	1.04546012744
resume_nontail	9.11194237986	nan	0.35233243816	0.35216920906000004	0.34943103816000004	0.8545854798600001	0.6913459966600001
product_early	10.282978864999999	2.4500726526	0.3873370983	0.38279800690000004	0.37985429830000006	0.3888676275	0.5265699775000001
growing_cont	nan	nan	nan	nan	nan	nan	nan
countdown	3.227791121	0.8683572626	0.7242563333	0.7142702752	0.7102613918	2.3983454128	0.7148603834000001
generator	nan	12.620363986820001	0.57307844932	0.5718002615200001	0.53529582422	0.9107448452200002	0.5862275240200001
