benchmark	eff-jit	effekt-jit	js-spider	js-v8	koka-vm	ocaml5	python-cpython	python-pypy
fibonacci_recursive	6.24592789442	5.540244610819999	nan	nan	2.8024336983199998	nan	nan	nan
triples	0.16918899167647058	0.10693155712962962	nan	nan	0.4396369268000001	nan	nan	nan
iterator	0.06102268828956521	0.020012123363999993	nan	nan	0.19062107499142855	nan	nan	nan
parsing_dollars	0.21431476896615387	0.4254217240199999	nan	nan	0.6105794199200001	nan	nan	nan
tree_explore	0.3620862460800001	0.22256562499538463	nan	nan	0.4081477667800001	nan	nan	nan
handler_sieve	2.43375312662	2.0539622600199996	nan	nan	2.1657501310200002	nan	nan	nan
nqueens	0.5207704908	0.8979723866000002	nan	nan	0.5814251451000001	nan	nan	nan
product_early	0.42029245152000005	0.25899462208363644	nan	nan	0.43544116412000006	nan	nan	nan
resume_nontail	0.12596705659565216	0.11179543936153849	nan	nan	0.2936136510000001	nan	nan	nan
generator	0.3248665948400001	0.52419262814	nan	nan	0.50479016154	nan	nan	nan
countdown	nan	nan	nan	nan	0.24164087439	nan	nan	nan
