benchmark	eff-jit	eff-plain-ocaml	oldeff-plain-ocaml
parsing_dollars	0.2061553666171429	17.000619286859997	0.9400239494599999
product_early	0.54094302996	5.55055724236	0.9970861759600002
handler_sieve	2.9875070348199997	30.908557659819998	10.18368936392
to_outermost_handler	nan	nan	nan
counter	nan	nan	nan
unused_handlers	24.929576749200002	8.0455582868	nan
countdown	24.914048303439998	7.94078581574	0.12815661076727272
fibonacci_recursive	5.5134546458	40.175507100000004	1.4335984998999998
resume_nontail	0.2450296877	1.5321933856	0.22291998193076923
triples	0.92976969002	0.5523662276200001	0.13973500672
growing_cont	nan	nan	nan
iterator	0.024756987146666676	3.04827714678	0.9898601051800002
nqueens	1.126506895	nan	0.2762816199000001
multiple_handlers	0.57935803496	10.05691763496	nan
tree_explore	0.5121953500800001	1.24304586678	0.20683836725142854
generator	3.9628495867	2.3855031824	1.9298156161000002
