benchmark	eff-jit	eff-plain-ocaml	effekt-jit	effekt-js	effekt-llvm	effekt-ml	helium-rpyeffect	koka-c	koka-js	koka-vm
generator	4.063859946679999	2.35360807598	1.02865238838	16.28785710898	nan	nan	1.8281897092799997	nan	13.37935575908	0.70807707178
triples	0.9392784615200002	0.5602916200199999	0.11820417515333335	2.16251684502	nan	0.04310606185174602	0.19911087532	12.659330565720001	2.31382401182	0.48142547412000003
product_early	0.54646711078	5.56394490688	0.36664423998	10.347128840079996	6.16929601098	0.37335948998	0.38918594438000004	10.31515412348	2.55256044858	0.38514576528
tree_explore	0.54520741422	1.27260683532	0.33015358502	nan	nan	0.19242946842000003	nan	0.83698018932	0.5879893350200001	0.50605082252
fibonacci_recursive	5.5505312167200005	nan	5.45626529992	nan	1.08770833742	2.11700515412	13.940316233319999	1.3096497875200002	3.5153794417200004	3.3233055377199996
parsing_dollars	0.20794657112857137	16.866463715800002	0.4174323576000001	nan	4.4175124201	0.1286166745181818	nan	3.5399889614999998	6.212719465899999	0.5833726450000001
nqueens	1.12272991178	nan	0.5588699744799999	7.700781461580002	nan	0.11030277984153844	nan	8.181576828380003	2.0614155991799996	0.66429836178
handler_sieve	3.0341462842	nan	2.3206787508	nan	nan	nan	nan	3.8524445842999997	nan	3.9352228216999996
unused_handlers	nan	7.958871581599999	0.41590688160000006	nan	7.9872010899	nan	nan	3.2505244022999995	0.9070478735000002	0.5676500608000001
multiple_handlers	0.58174519248	10.178729500779998	0.52799428408	nan	2.39150869678	0.64504408438	nan	12.35159325478	7.14246694268	1.01098858828
growing_cont	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
iterator	0.02553876966	3.02534241428	0.01992053544259543	6.86915803518	0.6328849309800001	0.19036663371333334	nan	0.34520241848	0.40763109357999994	0.2507124974890909
to_outermost_handler	nan	nan	0.07251325269894739	nan	7.792641581519999	nan	nan	4.0474994943199984	1.3581733982200002	0.59299803172
countdown	nan	7.923926022760002	0.4154938142600001	nan	5.86203582656	0.06743687768499998	nan	3.2572707017600004	0.8784281682600001	0.7314865559600001
resume_nontail	0.24919950730545457	1.54545296736	0.11598309252	nan	0.25373155676	0.11284735567999998	0.31782908816	9.154400563360001	nan	0.35704809666
counter	nan	nan	nan	nan	nan	nan	nan	1.9839177558199999	0.5712029226200002	0.35667636852
