benchmark,JIT,JIT err,Chez-lift,Chez-lift (interpreted),RPython interpreter,Eff,Koka
nqueens,1132,2,7622,7579,723000,801.5,11629
tree,235.2,0.6,245.7,250.8,16645,190.9,243.6
triples,47.9,1.3,151.4,154.6,3840,140.1,2116
simple counter,304.2,4.5,529.8,522.1,17042,135.1,2195
